_id,year,title,gross_box_office,max_theater,open_theater,open_week,opening,Distributor,Domestic
66134b3eab14b5df5ef9206f,2001,Fat Girl,"$39,851 ",6,6,31-May,"$13,733 ",null,AU
66134b3eab14b5df5ef92070,2006,Slither,"$338,320 ",114,114,18-May,"$173,594 ","[ ""United International Pictures"" ]",AU
66134b3eab14b5df5ef92071,2007,Lucky Miles,"$572,171 ",23,16,19-Jul,"$83,413 ","[ ""Dendy Films"" ]",AU
66134b3eab14b5df5ef92072,2002,Minority Report,"$6,584,824 ",329,-,20-Jun,-,null,AU
66134b3eab14b5df5ef92073,2009,Alvin and the Chipmunks: The Squeakquel,"$19,791,144 ",365,363,24-Dec,"$2,935,754 ","[ ""20th Century Fox International"" ]",AU
66134b3eab14b5df5ef92074,2006,Imagine Me & You,"$319,574 ",143,143,23-Feb,"$160,470 ","[ ""United International Pictures"" ]",AU
66134b3eab14b5df5ef92075,2001,The Glass House,"$38,468 ",41,41,18-Oct,"$38,468 ",null,AU
66134b3eab14b5df5ef92076,2007,December Boys,"$560,172 ",72,72,20-Sep,"$141,165 ","[ ""Roadshow Films"" ]",AU
66134b3eab14b5df5ef92077,2009,2012,"$18,123,801 ",405,405,12-Nov,"$5,673,957 ","[ ""Sony Pictures Releasing"" ]",AU
66134b3eab14b5df5ef92078,2006,Shortbus,"$289,027 ",8,8,9-Nov,"$49,056 ","[ ""Hopscotch Films"" ]",AU
66134b3eab14b5df5ef92079,2002,Signs,"$6,475,864 ",336,-,15-Aug,-,null,AU
66134b3eab14b5df5ef9207a,2001,Brother,"$35,217 ",14,-,15-Nov,-,null,AU
66134b3eab14b5df5ef9207b,2009,The Hangover,"$17,934,378 ",228,226,11-Jun,"$2,795,349 ","[ ""Warner Bros."" ]",AU
66134b3eab14b5df5ef9207c,2006,Dreamer,"$287,137 ",-,-,9-Mar,-,null,AU
66134b3eab14b5df5ef9207d,2007,Perfume: The Story of a Murderer,"$534,443 ",46,46,1-Feb,"$136,007 ","[ ""Hoyts Distribution"" ]",AU
66134b3eab14b5df5ef9207e,2002,Sweet Home Alabama,"$6,063,195 ",249,-,19-Dec,-,null,AU
66134b3eab14b5df5ef9207f,2009,Monsters vs. Aliens,"$16,257,222 ",382,382,2-Apr,"$2,773,817 ","[ ""Paramount Pictures International"" ]",AU
66134b3eab14b5df5ef92080,2007,Little Children,"$531,890 ",41,41,8-Feb,"$141,443 ","[ ""Roadshow Films"" ]",AU
66134b3eab14b5df5ef92081,2001,The Yards,"$34,684 ",39,39,3-May,"$34,684 ",null,AU
66134b3eab14b5df5ef92082,2006,The Weather Man,"$283,422 ",90,90,23-Mar,"$140,712 ","[ ""United International Pictures"" ]",AU
66134b3eab14b5df5ef92083,2002,xXx,"$5,849,021 ",301,-,12-Sep,-,null,AU
66134b3eab14b5df5ef92084,2009,X-Men Origins: Wolverine,"$14,924,362 ",416,416,29-Apr,"$4,832,014 ","[ ""20th Century Fox International"" ]",AU
66134b3eab14b5df5ef92085,2007,Away from Her,"$530,541 ",33,28,4-Oct,"$119,224 ","[ ""Dendy Films"" ]",AU
66134b3eab14b5df5ef92086,2002,Snow Dogs,"$5,704,983 ",304,-,30-May,-,null,AU
66134b3eab14b5df5ef92087,2006,The Long Weekend,"$260,396 ",88,88,16-Mar,"$133,679 ","[ ""Hoyts Distribution"" ]",AU
66134b3eab14b5df5ef92088,2001,Glitter,"$34,476 ",45,-,1-Nov,-,null,AU
66134b3eab14b5df5ef92089,2009,Angels & Demons,"$14,065,391 ",434,434,14-May,"$3,893,256 ","[ ""Sony Pictures Releasing"" ]",AU
66134b3eab14b5df5ef9208a,2001,Sugar & Spice,"$33,767 ",40,40,14-Jun,"$33,767 ",null,AU
66134b3eab14b5df5ef9208b,2009,Night at the Museum: Battle of the Smithsonian,"$14,037,398 ",397,397,21-May,"$3,702,697 ","[ ""20th Century Fox International"" ]",AU
66134b3eab14b5df5ef9208c,2002,Panic Room,"$5,686,752 ",259,-,11-Apr,-,null,AU
66134b3eab14b5df5ef9208d,2007,My Best Friend,"$530,190 ",21,18,24-May,"$74,456 ","[ ""Hopscotch Films"" ]",AU
66134b3eab14b5df5ef9208e,2006,Manual of Love,"$253,236 ",10,-,23-Mar,-,"[ ""Palace Films"" ]",AU
66134b3eab14b5df5ef9208f,2009,Mao's Last Dancer,"$14,008,032 ",267,266,1-Oct,"$2,380,683 ","[ ""Roadshow Films"" ]",AU
66134b3eab14b5df5ef92090,2001,Monkeybone,"$31,255 ",30,30,31-May,"$31,255 ",null,AU
66134b3eab14b5df5ef92091,2002,Stuart Little 2,"$5,542,624 ",297,-,5-Sep,-,null,AU
66134b3eab14b5df5ef92092,2007,Across the Universe,"$502,282 ",51,51,1-Nov,"$158,798 ","[ ""Sony Pictures Releasing"" ]",AU
66134b3eab14b5df5ef92093,2009,The Proposal,"$13,971,668 ",280,280,18-Jun,"$2,818,700 ","[ ""Walt Disney Pictures"" ]",AU
66134b3eab14b5df5ef92094,2006,Tristram Shandy,"$246,254 ",12,11,29-Jun,"$66,589 ","[ ""Madman Entertainment"" ]",AU
66134b3eab14b5df5ef92095,2007,Control,"$492,629 ",15,15,25-Oct,"$88,259 ","[ ""Dendy Films"" ]",AU
66134b3eab14b5df5ef92096,2002,Black Hawk Down,"$5,477,785 ",283,-,21-Feb,-,null,AU
66134b3eab14b5df5ef92097,2001,The Taste of Others,"$30,365 ",5,-,1-Nov,-,null,AU
66134b3eab14b5df5ef92098,2006,Don,"$233,903 ",12,12,19-Oct,"$74,398 ","[ ""MG Distribution"" ]",AU
66134b3eab14b5df5ef92099,2009,Fast & Furious,"$13,665,948 ",345,33,9-Apr,"$185,075 ","[ ""Universal Pictures International (UPI)"" ]",AU
66134b3eab14b5df5ef9209a,2007,Rescue Dawn,"$491,626 ",58,54,22-Nov,"$138,658 ","[ ""Hopscotch Films"" ]",AU
66134b3eab14b5df5ef9209b,2001,Baby Boy,"$25,468 ",28,-,8-Nov,-,null,AU
66134b3eab14b5df5ef9209c,2006,Proof,"$233,535 ",16,16,16-Mar,"$62,211 ","[ ""Buena Vista International"" ]",AU
66134b3eab14b5df5ef9209d,2002,About a Boy,"$5,269,055 ",260,-,1-Aug,-,null,AU
66134b3eab14b5df5ef9209e,2009,Star Trek,"$12,650,526 ",317,317,7-May,"$3,577,705 ","[ ""Paramount Pictures International"" ]",AU
66134b3eab14b5df5ef9209f,2001,The Princess and the Warrior,"$24,211 ",12,-,29-Nov,-,null,AU
66134b3eab14b5df5ef920a0,2007,Half Nelson,"$482,025 ",17,11,25-Apr,"$78,337 ","[ ""Palace Films"" ]",AU
66134b3eab14b5df5ef920a1,2006,2:37,"$232,490 ",51,51,17-Aug,"$100,541 ","[ ""Roadshow Films"" ]",AU
66134b3eab14b5df5ef920a2,2002,Mr. Deeds,"$4,830,666 ",279,-,22-Aug,-,null,AU
66134b3eab14b5df5ef920a3,2009,Inglourious Basterds,"$12,328,181 ",266,266,20-Aug,"$2,551,864 ","[ ""Universal Pictures International (UPI)"" ]",AU
